sedol,fqenddt,next_trading_date
450109,2015-03-31,2015-04-30
450109,2015-06-30,2015-08-14
450109,2015-09-30,2015-11-02
450109,2015-12-31,2016-02-15
450109,2016-03-31,2016-05-05
450109,2016-06-30,2016-08-12
450109,2016-09-30,2016-11-04
450109,2016-12-31,2017-02-10
450109,2017-03-31,2017-05-05
450109,2017-06-30,2017-08-18
450109,2017-09-30,2017-11-03
450109,2017-12-31,2018-02-08
450109,2018-03-31,2018-05-03
450109,2018-06-30,2018-08-23
450109,2018-09-30,2018-11-16
450109,2018-12-31,2019-02-28
450270,2014-12-31,2015-02-19
450270,2015-03-31,2015-05-01
451361,2012-09-30,2012-10-25
451361,2012-12-31,2013-02-07
451361,2013-06-30,2013-07-24
451361,2013-09-30,2013-10-23
451361,2013-12-31,2014-02-10
451361,2014-09-30,2014-10-23
451361,2015-03-31,2015-04-27
451361,2015-06-30,2015-07-23
451361,2015-09-30,2015-10-26
451361,2015-12-31,2016-02-12
452520,2017-09-30,2017-11-15
452520,2017-12-31,2018-02-26
452520,2019-03-31,2019-05-23
452520,2019-06-30,2019-08-21
452520,2019-09-30,2019-11-29
452520,2019-12-31,2020-02-24
453800,2019-09-30,2019-11-22
454721,2012-12-31,2013-03-14
454721,2017-12-31,2018-03-09
455440,2012-06-30,2012-07-26
455440,2012-12-31,2013-02-21
455440,2013-06-30,2013-07-25
455710,2018-06-30,2018-07-31
455710,2018-09-30,2018-10-30
455710,2018-12-31,2019-03-15
455710,2019-03-31,2019-05-13
455710,2019-06-30,2019-08-07
455710,2019-09-30,2019-10-28
455710,2019-12-31,2020-01-29
455799,2018-06-30,2018-08-09
455799,2018-09-30,2018-11-15
455799,2018-12-31,2019-03-18
455799,2019-03-31,2019-05-03
455799,2019-06-30,2019-08-08
455799,2019-09-30,2019-11-15
457178,2013-09-30,2013-11-15
457178,2013-12-31,2014-02-28
457178,2014-03-31,2014-05-07
457178,2014-06-30,2014-09-01
457178,2014-09-30,2014-11-04
457178,2014-12-31,2015-02-27
457178,2015-03-31,2015-04-30
457178,2015-06-30,2015-07-29
457178,2015-09-30,2015-11-13
457178,2015-12-31,2016-02-29
457178,2016-03-31,2016-05-11
457178,2016-06-30,2016-07-29
457178,2016-09-30,2016-11-16
457178,2016-12-31,2017-03-01
457178,2017-06-30,2017-07-27
457178,2017-09-30,2017-11-16
457178,2018-03-31,2018-05-10
457178,2018-06-30,2018-07-27
457178,2018-09-30,2018-11-13
457270,2014-09-30,2014-11-07
457270,2014-12-31,2015-03-20
457270,2016-06-30,2016-07-22
457270,2016-09-30,2016-10-04
457270,2016-12-31,2017-03-24
457270,2017-03-31,2017-08-24
457270,2017-09-30,2017-11-17
457270,2017-12-31,2018-03-23
457481,2013-06-30,2013-09-18
457481,2015-06-30,2015-08-06
457481,2015-09-30,2015-10-29
457481,2017-12-31,2018-02-12
457481,2018-03-31,2018-05-14
458836,2015-12-31,2016-02-18
458836,2016-06-30,2016-07-27
458836,2016-12-31,2017-02-15
458836,2017-06-30,2017-07-26
458836,2017-12-31,2018-02-13
458836,2018-06-30,2018-07-24
458836,2019-06-30,2019-07-29
458836,2019-12-31,2020-02-11
458882,2019-12-31,2020-02-06
458971,2018-06-30,2018-07-20
458971,2018-09-30,2018-10-25
459306,2018-09-30,2018-11-07
459306,2018-12-31,2019-02-28
459306,2019-03-31,2019-05-09
459306,2019-06-30,2019-09-09
459306,2019-09-30,2019-11-07
459573,2014-06-30,2014-08-14
459573,2014-09-30,2014-11-07
459573,2014-12-31,2015-03-03
459573,2015-03-31,2015-05-13
459573,2015-06-30,2015-08-13
459573,2015-09-30,2015-11-05
459573,2015-12-31,2016-02-18
459573,2016-03-31,2016-05-11
459573,2017-09-30,2017-11-09
459573,2017-12-31,2018-02-22
459573,2018-03-31,2018-05-09
459573,2018-06-30,2018-08-09
459573,2018-09-30,2018-11-15
459573,2018-12-31,2019-02-21
459573,2019-03-31,2019-05-09
459573,2019-06-30,2019-08-16
459573,2019-09-30,2019-11-07
459573,2019-12-31,2020-02-20
463508,2013-06-30,2013-08-13
463508,2013-09-30,2013-11-15
464574,2013-06-30,2013-08-19
464574,2013-09-30,2013-10-28
464574,2015-06-30,2015-07-20
464574,2015-09-30,2015-11-09
464574,2016-06-30,2016-07-21
464574,2016-09-30,2016-10-31
464574,2017-12-31,2018-01-26
464574,2018-03-31,2018-04-26
464574,2018-06-30,2018-07-19
464574,2018-09-30,2018-10-26
464574,2018-12-31,2019-01-30
464574,2019-03-31,2019-04-30
464574,2019-06-30,2019-07-22
464574,2019-09-30,2019-10-29
464574,2019-12-31,2020-01-31
466514,2012-09-30,2012-10-25
466514,2012-12-31,2013-02-15
466514,2013-03-31,2013-04-26
466514,2013-06-30,2013-07-25
466514,2013-09-30,2013-11-04
466514,2013-12-31,2014-02-14
466514,2014-03-31,2014-04-30
466514,2014-06-30,2014-07-25
466514,2014-09-30,2014-11-06
466514,2014-12-31,2015-02-13
466514,2015-03-31,2015-04-30
466514,2015-06-30,2015-07-24
466514,2015-09-30,2015-11-06
466514,2015-12-31,2016-02-12
466514,2016-03-31,2016-04-28
466514,2016-06-30,2016-07-27
466514,2016-09-30,2016-11-04
466514,2016-12-31,2017-02-03
466514,2017-03-31,2017-04-28
466514,2017-06-30,2017-07-26
466514,2017-09-30,2017-10-27
466514,2017-12-31,2018-02-01
466514,2018-03-31,2018-04-27
466514,2018-06-30,2018-07-25
466514,2018-09-30,2018-10-29
466514,2018-12-31,2019-02-08
466514,2019-03-31,2019-05-08
466514,2019-06-30,2019-08-02
466514,2019-09-30,2019-11-01
466514,2019-12-31,2020-02-06
466593,2014-09-30,2014-11-05
466593,2017-09-30,2017-11-13
466593,2019-03-31,2019-05-23
466593,2019-09-30,2019-11-08
467278,2016-12-31,2017-02-01
468232,2016-09-30,2016-10-21
468232,2017-06-30,2017-09-01
470409,2013-06-30,2013-07-22
470409,2013-09-30,2014-02-10
470409,2015-03-31,2015-04-23
471279,2014-06-30,2014-07-31
471279,2014-12-31,2015-02-13
471279,2018-06-30,2018-07-30
471279,2018-12-31,2019-02-15
471349,2014-12-31,2015-02-20
471349,2015-03-31,2015-05-22
472699,2016-03-31,2016-05-13
472766,2012-09-30,2012-10-24
472766,2013-03-31,2013-04-26
472766,2013-12-31,2014-02-17
473102,2014-09-30,2014-11-14
473102,2016-03-31,2016-05-16
473102,2016-06-30,2016-08-08
473102,2016-09-30,2016-11-14
473102,2016-12-31,2017-03-17
474171,2013-09-30,2013-11-27
474171,2014-03-31,2014-06-06
474171,2014-09-30,2014-12-04
474171,2015-03-31,2015-06-18
474171,2015-09-30,2015-11-27
474171,2016-03-31,2016-04-20
474171,2016-09-30,2016-11-25
474171,2017-03-31,2017-06-09
474171,2017-09-30,2017-11-24
474171,2018-03-31,2018-06-08
474171,2018-09-30,2018-11-23
474171,2019-03-31,2019-06-07
474171,2019-09-30,2019-11-29
474184,2019-03-31,2019-05-15
474184,2019-06-30,2019-08-09
474184,2019-09-30,2019-11-15
474184,2019-12-31,2020-03-06
475497,2015-09-30,2015-11-16
475497,2016-06-30,2016-08-16
475497,2016-09-30,2016-11-15
475497,2016-12-31,2017-03-08
475497,2017-03-31,2017-05-12
475497,2017-06-30,2017-08-16
475497,2017-09-30,2017-11-16
475497,2018-03-31,2018-05-16
475497,2018-06-30,2018-08-15
475497,2018-09-30,2018-11-16
475497,2019-06-30,2019-08-16
475497,2019-09-30,2019-11-14
475497,2019-12-31,
476896,2019-03-31,2019-05-16
476896,2019-06-30,2019-08-15
476896,2019-09-30,2019-11-15
476896,2019-12-31,2020-03-13
478321,2017-06-30,2017-08-04
478321,2017-09-30,2017-11-15
479053,2016-12-31,2017-02-09
479053,2017-03-31,2017-05-15
479053,2017-06-30,2017-07-19
479053,2017-09-30,2017-11-06
479053,2017-12-31,2018-02-09
479053,2018-03-31,2018-05-04
479053,2018-06-30,2018-07-18
479053,2018-09-30,2018-10-29
479053,2018-12-31,2019-02-14
479053,2019-03-31,2019-05-16
479053,2019-06-30,2019-07-17
479053,2019-09-30,2019-10-28
479053,2019-12-31,2020-02-14
479213,2019-06-30,2019-07-15
479827,2012-09-30,2012-11-12
479827,2013-03-31,2013-05-13
479827,2013-09-30,2013-11-11
479827,2014-09-30,2014-11-10
479827,2014-12-31,2015-02-09
479827,2015-03-31,2015-05-11
479827,2018-03-31,2018-05-14
479827,2018-06-30,2018-09-03
479827,2019-06-30,2019-09-02
479827,2019-09-30,2019-11-04
480065,2016-06-30,2016-07-26
480065,2016-09-30,2017-03-02
480065,2016-12-31,2017-03-02
481835,2014-12-31,2015-03-19
481835,2015-03-31,2015-04-30
